,id_hdv,prop_rec,prop_type,prop_ctry,prop_dep,prop_pro,prop_dis,prop_address,prop_insc,prop_reg_number,prop_tome,prop_value
48,0-13-3,1,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,SANTIAGO DE SURCO ,"AV. HIGUERETA 558, DPTO. 401 ",SÍ,44658232 ,- ,640000.00 
49,0-13-4,1,CASA,PERÚ,PUNO ,PUNO ,PUNO ,JIRON 20 DE JULIO 159 ,NO, , ,215000.00 
50,0-13-5,1, , , , , , , , , , 
51,0-14-1,1,CASA,PERÚ,UCAYALI ,PADRE ABAD ,PADRE ABAD ,JR.VARGAS GUERRA MZ L LOTE 11 ,SÍ,55013907 ,. ,98744.30 
52,0-14-1,2,CASA,PERÚ,UCAYALI ,PADRE ABAD ,PADRE ABAD ,CENTRO POBLADO CASERIO LA LIBERTAD MZ 18 LOTE 1 ,SÍ,11135858 ,. ,25000.00 
53,0-14-1,3,CASA,PERÚ,UCAYALI ,PADRE ABAD ,PADRE ABAD ,JIRON LOS ANGELES MZ 55 SECTOR B ,SÍ,11156781 ,. ,35000.00 
54,0-14-1,4,TERRENO,PERÚ,UCAYALI ,PADRE ABAD ,IRAZOLA ,FUNDO LOS 7 HERMANOS SECTOR MISHQUI YACCU ,SÍ,11118732 ,- ,10282.00 
55,0-14-1,5,TERRENO,PERÚ,UCAYALI ,PADRE ABAD ,PADRE ABAD ,PUNTA PARCELA 2-A ,SÍ,40004820 ,- ,2692.00 
56,0-14-2,1,CASA,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,"CALLE JAUJA MZ,14 LT. 08 ",SÍ,11133322 ,. ,11100.00 
57,0-14-3,1, , , , , , , , , , 
58,0-15-1,1,TERRENO,PERÚ,JUNIN ,HUANCAYO ,EL TAMBO ,URB. LOS EUCALIPTOS ,NO, , ,500.00 
59,0-15-2,1, , , , , , , , , , 
60,0-15-3,1,CASA,PERÚ,LIMA ,LIMA ,LA VICTORIA ,CALLE 56 MZ H1 LOTE 6 URB. TUPAC AMARU ,SÍ,43431420 ,07341105 ,30000.00 
61,0-15-3,2,TERRENO,PERÚ,JUNIN ,CHANCHAMAYO ,CHANCHAMAYO ,JR. AREQUIPA Y RISSO ,SÍ,11002241 ,07341105 ,600.00 
62,0-15-4,1, , , , , , , , , , 
63,0-15-5,1, , , , , , , , , , 
64,0-16-1,1,INMUEBLE,PERÚ,LA LIBERTAD ,PATAZ ,PARCOY ,PATAZ-PARCOY- MZ Y LOTE 19 - CENTRO POBLADO LLACUABAMBA ,SÍ,11047461 ,- ,0.00 
65,0-16-1,2,INMUEBLE,PERÚ,LA LIBERTAD ,PATAZ ,PARCOY ,PATAZ-PARCOY- MZ Y LOTE 25 - CENTRO POBLADO LLACUABAMBA ,SÍ,11047467 ,- ,0.00 
66,0-16-2,1,CASA,PERÚ,LIMA ,LIMA ,SAN JUAN DE MIRAFLORES ,CALLE 3 MZ. A LT. 51 ,NO, , ,100000.00 
67,0-16-3,1,CASA,PERÚ,LIMA ,LIMA ,ATE ,CALLE LOS GLADIOLOS NUM 234 DPTO N°101 - PRIMER Y SEGUNDO PISO URB LOS JARDINES DE SALAMANCA ,SÍ,11873666 ,- ,510000.00 
68,0-16-3,2,CASA,PERÚ,LIMA ,LIMA ,ATE ,CALLE LOS GLADIOLOS NUM 234 DPTO N°201 - SEGUNDO PISO URB LOS JARDINES DE SALAMANCA ,SÍ,11873667 ,- ,340000.00 
69,0-16-3,3,CASA,PERÚ,LIMA ,HUAROCHIRI ,SANTA CRUZ DE COCACHACRA ,UBICACION RURAL CE 331335 CN 8682826 PARCELA 8 - 3308680-000075 0.4252 HAS. U.C. 000075 - SECTOR YANAMAQUI - VALLE RIMAC ,SÍ,10185405 ,- ,680000.00 
70,0-16-4,1,CASA,PERÚ,LIMA ,LIMA ,ATE ,CALLE COSMOS 157 MZ. F LT. 13 SOL DE VITARTE ,SÍ,44909081 ,- ,31271.62 
71,0-16-4,2,CASA,PERÚ,LIMA ,LIMA ,LA MOLINA ,CALLE SANTA RAQUEL 140 ,SÍ,45221881 ,- ,115711.05 
72,0-16-4,3,TERRERNO,PERÚ,LIMA ,LIMA ,CHACLACAYO ,AV. LAS CUMBRES MZ. A LT. 07 ,SÍ,49019942 ,- ,15249.60 
73,0-16-5,1,CASA,PERÚ,LIMA ,LIMA ,JESUS MARIA ,JR. FRANCISO DE ZELA 1183 ,SÍ,40248609 ,272 ,340000.00 
74,0-16-6,1,CASA,ITALIA, , , ,VIA PALIANO 79 ,NO, , ,1500000.00 
75,0-16-8,1,CASA,PERÚ,LIMA ,LIMA ,MAGDALENA DEL MAR ,JR. RODOLFO RUTTE 565 ,SÍ,07035828 ,- ,156000.00 
76,0-16-8,2,SOLAR,PERÚ,AREQUIPA ,CARAVELI ,JAQUI ,C.M. GRAU S/N ,NO, , ,35000.00 
77,0-16-9,1,TERRENO,PERÚ,LIMA ,LIMA ,VILLA MARIA DEL TRIUNFO ,JR. MATEO PUMACAHUA 128 NUEVA ESPERANZA ,SÍ,14105000 ,- ,3000.00 
78,0-16-11,1, , , , , , , , , , 
79,0-16-12,1,CASA,PERÚ,CALLAO ,CALLAO ,CALLAO ,URB. RENOVACIÓN PALOMINO MZ. E LT. 4 ,NO, , ,120000.00 
80,0-16-13,1, , , , , , , , , , 
81,0-16-14,1, , , , , , , , , , 
82,0-16-15,1, , , , , , , , , , 
83,0-16-16,1,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,SAN BORJA ,CALLE MARCHAND NRO 275 ,SÍ,41971711 ,- ,190000.00 
84,0-16-18,1,INMUEBLE,PERÚ,LIMA ,LIMA ,SAN JUAN DE MIRAFLORES ,AV. LOS HEROES 188 LOCAL COMERCIAL 155 ,SÍ,11123654 ,1123654 ,34000.00 
85,0-16-18,2,INMUEBLE,PERÚ,LIMA ,LIMA ,SAN JUAN DE MIRAFLORES ,AV. LOS HEROES 188 LOCAL COMERCIAL 240 ,SÍ,11123709 ,11123709 ,34000.00 
86,0-16-18,3,INMUEBLE,PERÚ,LIMA ,LIMA ,COMAS ,AVENIDA AUTOPISTA CHILLON TRAPICHE MZ A LOTE 1 DE LA MZ - A PARCELA RANCHERÍA FUNDO RUSTICO CHACRA CERRO ,SÍ,11595293 ,- ,170000.00 
87,0-16-18,4,INMUEBLE,PERÚ,LIMA ,LIMA ,SAN JUAN DE MIRAFLORES ,CALLE L MZ S LT 10 URB. ENTEL PERU ,SÍ,42325708 ,212152 ,170000.00 
88,0-16-18,5,INMUEBLE,PERÚ,LIMA ,LIMA ,SAN MARTIN DE PORRES ,"PARCELA U.C. 10401 - 10601 2 HAS. 3,700.00 M2 FUNDO AZNAPUQUIO ",SÍ,43833340 ,307360 ,130000.00 
89,0-16-19,1, , , , , , , , , , 
90,0-16-20,1,CASA,ESTADOS UNIDOS, , , ,NEW JERSEY PASSAIC LITLE FALLS 53 BROWERTOWN RD ,NO, , ,1670000.00 
91,0-16-20,2,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,COMAS ,JR. HUAYNA CAPAC 387 ,NO, , ,50000.00 
92,0-16-21,1, , , , , , , , , , 
93,0-16-22,1,CASA,PERÚ,LIMA ,LIMA ,COMAS ,CALLE 59MZ. K3 LOTE 4 URB EL PINAR ,NO, , ,43900.00 
94,0-16-23,1,TERRENO,PERÚ,LIMA ,LIMA ,PUNTA HERMOSA ,ASOC. AGRIULTORES PAMPA PACTASTA ROSA ,NO, , ,400000.00 
95,0-16-24,1,TERRENO,PERÚ,LIMA ,LIMA ,PUCUSANA ,PUCUSANA ,NO, , ,20000.00 
96,0-16-25,1,CASA,PERÚ,LIMA ,LIMA ,SAN BORJA ,JR. JOSE ALVAREZ CALDERON NRO 319-TORRES DE LIMATAMBO ,SÍ,11146387 ,- ,835000.00 
97,0-16-26,1,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,LIMA ,AV ALFONSO UGARTE 421 DPTO 208 ,SÍ,46491572 ,- ,24871.94 
98,0-16-26,2,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,LIMA ,AV ALFONSO UGARTE 421-DPTO 210 ,SÍ,46491556 ,- ,68250.00 
99,0-16-26,3,CASA,PERÚ,LIMA ,LIMA ,COMAS ,AV UNIVERSITARIA MZ.D LOTE 18 ,SÍ,P01036642 ,- ,117626.67 
100,0-16-27,1,LOCAL COMERCIAL,PERÚ,LIMA ,LIMA ,LA VICTORIA ,JIRON PROLONGACION GAMARRA NUM 654-674 Y 676 TIENDA N° 411 ,SÍ,11140821 ,- ,170000.00 
101,0-16-28,1, , , , , , , , , , 
102,0-16-29,1,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,SAN MIGUEL ,AV. COSTANERA 970 ,SÍ,12596990 ,- ,1376000.00 
103,0-16-29,2,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,SAN MIGUEL ,AV. COSTANEA 970 ,SÍ,12597030 ,- ,187000.00 
104,0-16-29,3,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,SAN MIGUEL ,AV. BERTOLOTTO 111 INT 806 ,SÍ,12867785 ,- ,513500.00 
105,0-16-29,4,COCHERA,PERÚ,LIMA ,LIMA ,SAN MIGUEL ,AV. BERTOLOTTO 111 INT. 806 ,SÍ,12867633 ,- ,45900.00 
106,0-16-29,5,LOTE RURAL,PERÚ,LIMA ,HUARAL ,HUARAL ,"ESPERANZA ALTA, LT. .36 C ",SÍ,20009371 ,- ,34000.00 
107,0-16-30,1, , , , , , , , , , 
108,0-16-31,1,TERRENO,PERÚ,LIMA ,LIMA ,EL AGUSTINO ,URB LAS PRADERA DE SANTA ANITA SEGUNDA ETAPA CALLE 35 ,SÍ,12138411 ,- ,534400.00 
109,0-16-31,2,TERRENO,PERÚ,ANCASH ,MARISCAL LUZURIAGA ,PISCOBAMBA ,FUNDO SANTA IRENE(HUALLUA) ,SÍ,02110355 ,- ,200400.00 
110,0-16-31,3,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,COMAS ,URB EL RETABLO CALLE PROLONGACION PALLARDELY NRO 300 -SEGUNDO PISO ,NO, , ,200400.00 
111,0-16-31,4,TERRENO CERCADO,PERÚ,LIMA ,CAÑETE ,SAN VICENTE DE CAÑETE ,ASOCIACION DE VIVIENDA BRISAS DE CONCON MZ.D 1 LOTE 8 Y 9 ,NO, , ,120000.00 
112,0-16-32,1, , , , , , , , , , 
113,0-16-34,1,INMUEBLE,PERÚ,LIMA ,LIMA ,LIMA ,AVENIDA VENEZUELA ZONA NRO 5 EX LOTE B DPTO NRO X 2 32 TIPO C EDIF X CONJUNTO HABITACIONAL PALOMINO CERCADO ,SÍ,11284683 ,- ,200000.00 
114,0-16-35,1,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,SAN MIGUEL ,AV. LOS PATRIOTAS 576 DPTO. 204 URB. MARANGA ,SÍ,13347125 ,- ,206000.00 
115,0-17-1,1, , , , , , , , , , 
116,0-17-3,1, , , , , , , , , , 
117,0-17-4,1,PREDIO,PERÚ,ANCASH ,CASMA ,CASMA ,ASENT. VILLA HERMOSA ETAPA II MZ. L1 LOTE 21 ,SÍ,09106006 ,09106006 ,2198.00 
118,0-18-1,1,INMUEBLE,PERÚ,JUNIN ,HUANCAYO ,EL TAMBO ,SN CRISTOBAL S/N ,NO, , ,215000.00 
119,0-18-2,1, , , , , , , , , , 
120,0-18-4,1,INDEPENDIENTE,PERÚ,LIMA ,LIMA ,CARABAYLLO ,URBANIZACIÓN EDWIN VASQUEZ CAM ,NO, , ,15593.20 
121,0-18-5,1, , , , , , , , , , 
122,0-19-1,1,CASA,PERÚ,CUSCO ,CUSCO ,SANTIAGO ,LOTE 5 CALLE INKA ,SÍ,02029876 ,228103 ,200.89 
123,0-19-1,2,CASA,PERÚ,CUSCO ,CUSCO ,SANTIAGO ,LOTE 5 URBA M.SONCODES ,SÍ,204354 ,264265 ,695.68 
124,0-19-1,3,CASA,PERÚ,CUSCO ,CUSCO ,SAN SEBASTIAN ,LOTE 7 URB. SANTA ROY ,SÍ,02073213 ,21681 ,438.44 
125,0-19-1,4,CASA,PERÚ,LIMA ,LIMA ,SAN JUAN DE MIRAFLORES ,CONJUNTO MULTIFAMILIAR SAN JUAN DE MIRAFLORES ,SÍ,11149537 ,0.0 ,438.44 
126,0-19-3,1,CASA,PERÚ,CUSCO ,CANAS ,YANAOCA ,AV.TUPAC AMARU ,SÍ,P59011347 ,0.0 ,73201.40 
127,0-19-3,2,CASA,PERÚ,CUSCO ,CUSCO ,SANTIAGO ,AV.AGUSTIN GAMASCA LT.6 ,NO, , ,146250.00 
128,0-19-4,1,DAPARTAMENTO,PERÚ,CUSCO ,CUSCO ,WANCHAQ ,AV. HUAYRUROPATA #1419 ,SÍ,1106294 ,.0 ,65867.58 
129,0-19-5,1, , , , , , , , , , 
130,0-20-1,1, , , , , , , , , , 
131,0-20-2,1,TERRENO,PERÚ,APURIMAC ,ANDAHUAYLAS ,TALAVERA ,LOS JARDINES DE TALAVERA MZ A LOTE 4 ,SÍ,. ,. ,0.00 
132,0-20-3,1, , , , , , , , , , 
133,0-21-1,1,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,YARINACOCHA ,CENTRO POBLADO COMITÉ VECINAL BARRIO MIRAFLORES MZ 185A- ETAPA 2 - YARINACOCHA ,SÍ,11120164 ,S/N ,33641.19 
134,0-21-1,2,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,AV UNIÓN MZ K LT 11 AAHH NUEVO MUNDO ,SÍ,11100787 ,S/N ,19402.54 
135,0-21-2,1, , , , , , , , , , 
136,0-21-3,1,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,JR 9 DE DICIEMBRE 124 ,SÍ,11006770 ,0011006770/00000 ,90435.22 
137,0-21-3,2,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,CARRETERA FEDERICO BASADRE KM 7.800 LOTE 1 ,SÍ,11072698 ,11072698/00000 ,8000.00 
138,0-21-3,3,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,CARRETERA FEDERICO BASADRE 7.800 VILLA MELITA LOTE 2 ,SÍ,11072699 ,11072699/00000 ,8000.00 
139,0-21-3,4,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,CARRETERA FEDERICO BASADRE KM7.800 VILLA MELITA LOTE 3 ,SÍ,11072700 ,11072700/00000 ,8000.00 
140,0-21-3,5,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,CARRETERA FEDERICO BASADRE KM 7.800 VILLA MELITA LOTE 4 ,SÍ,119187001 ,11072701/00000 ,8000.00 
141,0-21-3,6,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,CARRETERA FEDERICO BASADRE KM 7.800 VILLA MELITA LOTE 5 ,SÍ,11096053 ,11096053/00000 ,8000.00 
142,0-21-3,7,INMUEBLE,PERÚ,LIMA ,LIMA ,MIRAFLORES ,JR JOSE GONZALES 343 DPT 5 ,SÍ,47285240 ,128977/00000 ,49500.00 
143,0-21-3,8,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,CARRETRA FEDERICO BASADRE KM 7.800 VILLA MELITA LOTE 05A-1A ,SÍ,14468001 ,111488807/00000 ,120000.00 
144,0-21-3,9,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,CARRETERA FEDERICO BASADRE KM 7.800 VILLA MELITA ,SÍ,11158208 ,11158208/00000 ,240000.00 
145,0-21-3,10,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,CARRETERA DEFERICO BASADRE KM 7.800 VILLA MELITA ,SÍ,11120017 ,111217/00000 ,360000.00 
146,0-21-3,11,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,CARRETERA FEDERICO BASADRE KM 7.800 LOTA A-17 ,SÍ,11072729 ,11072729/00000 ,8000.00 
147,0-21-3,12,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,JR HUASCAR LOTE 2 MZ 9 ,SÍ,00006153 ,26832/00000 ,320000.00 
148,0-21-3,13,INMUEBLE,PERÚ,UCAYALI ,CORONEL PORTILLO ,CALLERIA ,CARRETERA FEDERICO BASADRE KM 7.800 PARCELA C ,SÍ,11050190 ,11050190/00000 ,304000.00 
149,0-22-1,1,LIMA,PERÚ,LIMA ,LIMA ,PUENTE PIEDRA ,MZ F LOTE 18 SECTOR LOS ZORSALESDEL SAPALLAL -ASENTAMIENTO HUAMANO PROYECTO INTEGRAL ZAPALLAL ALTO.DPTO:LIMA ,SÍ,55604457 ,0.0 ,0.00 
150,0-22-2,1, , , , , , , , , , 
151,0-22-3,1, , , , , , , , , , 
152,0-23-1,1,RURAL,PERÚ,ICA ,ICA ,LA TINGUIÑA ,SECTOR CHACARILLA ,SÍ,11008626 ,10200927 ,117150.80 
153,0-23-1,2,RURAL,PERÚ,ICA ,ICA ,LA TINGUIÑA ,LAS MERCEDES ,SÍ,11011910 ,10201237 ,70815.49 
154,0-23-1,3,URBANO,PERÚ,ICA ,ICA ,ICA ,URB.RINCONADA HUACACHINA F-19 ,SÍ,11037844 ,0 ,45951.36 
155,0-23-1,4,URBANO,PERÚ,ICA ,ICA ,LA TINGUIÑA ,AV. JORGE CHAVEZ MZ.72 LT. 18 ,SÍ,55029432 ,0 ,183798.00 
156,0-23-2,1,CASA,PERÚ,ICA ,ICA ,ICA ,CAMPO ALEGRE 360 ICA ,SÍ,0 ,0 ,114228.00 
157,0-23-2,2,LOCAL,PERÚ,ICA ,ICA ,ICA ,RINCONADA HUACACHINA ,SÍ,0 ,0 ,145809.00 
158,0-23-3,1, , , , , , , , , , 
159,0-23-4,1,VIVIENDA,PERÚ,ICA ,PISCO ,INDEPENDENCIA ,AV. FEDERICO URANGA N° 617 ,NO, , ,75000.00 
160,0-23-4,2,VIVIENDA,PERÚ,ICA ,ICA ,ICA ,ACACIAS N° 177 - URB. SAN JOSE ,SÍ,02013653 ,------------------------ ,350000.00 
161,0-24-1,1,DEPARTAMENTO,PERÚ,LIMA ,LIMA ,SAN MIGUEL ,AVENIDA JUAN BERTOLOTTO NEGRO NUM 111 DPTO N° 804 - OCTAVO PISO ,SÍ,12867783 ,492 ,375200.00 
162,0-24-1,2,ESTACIONAMIENTO,PERÚ,LIMA ,LIMA ,SAN MIGUEL ,AVENIDA JUAN BERTOLOTTO NEGRO NUM 107 ESTAC N° 18 - PRIMER PISO ,SÍ,12867693 ,- ,26800.00 
163,0-24-1,3,TERRENO,PERÚ,LIMA ,HUAURA ,HUACHO ,PREDIO RURAL SAN LORENZO CHICO SECTOR LA CAMPIÑA ,SÍ,P18016525 ,- ,63168.00 
164,0-24-2,1, , , , , , , , , , 
165,0-24-3,1, , , , , , , , , , 
166,0-24-4,1,CASA,PERÚ,LIMA ,HUAROCHIRI ,SAN ANTONIO ,MYPES DE VILLA DEL SOL ,NO, , ,80000.00 
167,0-26-1,1, , , , , , , , , , 
168,0-26-2,1,CASA,PERÚ,PIURA ,PIURA ,CASTILLA ,AV GRAU 325 ,SÍ,. ,. ,150000.00 
169,0-26-2,2,TERRENO,PERÚ,PIURA ,PIURA ,CASTILLA ,. ,SÍ,. ,. ,120000.00 
170,0-26-3,1,DEPARTAMENTO,PERÚ,PIURA ,PIURA ,PIURA ,URB LOS BANCARIOS II DEPATAMENTO 301 ,SÍ,11122566 ,0237 ,269692.11 
171,0-26-4,1, , , , , , , , , , 
172,0-26-5,1, , , , , , , , , , 
173,0-26-6,1, , , , , , , , , , 
174,0-26-7,1, , , , , , , , , , 
175,0-27-1,1,VIVIENDA,PERÚ,LIMA ,LIMA ,SAN MARTIN DE PORRES ,JR. JUNIN 3115 ,SÍ,11798977 ,1323376 ,150000.00 
176,0-27-1,2,TERRENO RUSTICO,PERÚ,AREQUIPA ,AREQUIPA ,SOCABAYA ,PAMPAS VIEJAS DE SOCABAYA ,SÍ,01180732 ,90000348 ,20000.00 
177,0-27-1,3,TERRENO RUSTICO,PERÚ,AREQUIPA ,AREQUIPA ,LA JOYA ,TERRENO RURAL LOTE 38-5 ,SÍ,04000782 ,10006 ,15000.00 
178,0-27-1,4,TERRENO RUSTICO,PERÚ,AREQUIPA ,AREQUIPA ,SOCABAYA ,CENTRO POBLADO EL PASTO MZ D ,SÍ,11144065 ,6242871 ,25000.00 
179,0-27-2,1,VIVIENDA,PERÚ,LIMA ,LIMA ,SANTIAGO DE SURCO ,LOS CIVILES B-2 ,SÍ,117040337 ,0 ,150000.00 
180,0-27-3,1,VIVIENDA,PERÚ,AREQUIPA ,AREQUIPA ,AREQUIPA ,PASAJE SELVA ALEGRE 100 ,NO, , ,60910.00 
181,0-27-3,2,VIVIENDA,PERÚ,AREQUIPA ,AREQUIPA ,AREQUIPA ,PASAJE SELVA ALEGRE - TIENDA 1 ,NO, , ,5120.00 
182,0-27-3,3,TIENDA,PERÚ,AREQUIPA ,AREQUIPA ,AREQUIPA ,CALLE SUCRE N° 549 A - KIOSKO 2 ,NO, , ,1840.00 
183,0-27-4,1,VIVIENDA,PERÚ,AREQUIPA ,AREQUIPA ,SOCABAYA ,AV. PRIMAVERA L-14 LA CAMPIÑA ,SÍ,P06112267 ,0 ,300000.00 
184,0-27-4,2,VIVIENDA,PERÚ,AREQUIPA ,CAMANA ,SAMUEL PASTOR ,VILLA AMECOSUPE S/N ,SÍ,0117241 ,0 ,60000.00 
185,0-27-4,3,TERRENO,PERÚ,AREQUIPA ,AREQUIPA ,SACHACA ,CALLE INTERNACIONAL S/N ,SÍ,06097119 ,0 ,40000.00 
186,0-27-6,1,VIVIENDA,PERÚ,AREQUIPA ,AREQUIPA ,CAYMA ,PROGRAMA HABITACIONAL ALTO CAYMA III MZ Q LOTE 7 ,SÍ,55106582 ,6106970 ,30000.00 
187,0-27-6,2,TERRENO RUSTICO,PERÚ,AREQUIPA ,CASTILLA ,URACA ,PUNTA COLORADA MZ F LOTE 1 URACA ,SÍ,55169528 ,6170214 ,10000.00 
188,0-28-1,1,CASA/COPROPIEDAD,PERÚ,LIMA ,BARRANCA ,BARRANCA ,JR. ALFONSO UGARTE BERNAL 357 INT. 01 ,SÍ,80162162 ,00/00 ,94120.00 
189,0-28-1,2,CASA/COPROPIEDAD,PERÚ,LIMA ,BARRANCA ,BARRANCA ,JR. ALFONSO UGARTE BERNAL 366 ,SÍ,80155195 ,00/00 ,18142.00 
