,id_hdv,univ_rec,univ_name,has_univ_complete,univ_career,univ_gradute,univ_bachelorette,univ_year,univ_title,univ_title_year
38,0-10-1,1,LOS ÁNGELES DE CHIMBOTE ,SÍ,DERECHO Y CIENCIAS POLÍTICAS ,SÍ,SÍ,2005 ,NO, 
39,0-10-1,2,PARTICULAR DE CHICLAYO , ,DERECHO Y CIENCIAS POLITICAS , , , ,SÍ,2005 
40,0-10-2,1,PEDRO LUIS GALLO ,SÍ,EDUCACIÓN ,SÍ,SÍ,2001 ,SÍ,2001 
41,0-11-1,1,INCA GARCILAZO DE LA VEGA ,SÍ,DERECHO Y CIENCIAS POLÍTICAS ,SÍ,SÍ,2018 ,NO, 
42,0-12-1,1,UNIVERSIDAD NACIONAL DE SAN MARTIN ,SÍ,CONTABILIDAD ,SÍ,SÍ,2006 ,SÍ,2007 
43,0-12-3,1, , , , , , , , 
44,0-13-1,1, , , , , , , , 
45,0-13-2,1,UNIVERSIDAD NACIONAL DEL ALTIPLANO PUNO ,SÍ,ESCUELA PROFESIONAL DE INGENIERIA AGROINDUSTRIAL ,SÍ,SÍ,2011 ,NO, 
46,0-13-3,1,SAN ANTONIO ABAD DEL CUSCO ,SÍ,DERECHO Y CIENCIAS POLÍTICAS ,SÍ,SÍ,1997 ,SÍ,1998 
47,0-13-4,1, , , , , , , , 
48,0-13-5,1,UNIVERSIDAD ANDINA NESTOR CACERES VELASQUEZ ,SÍ,DERECHO ,SÍ,SÍ,2014 ,NO, 
49,0-14-1,1, , , , , , , , 
50,0-14-2,1,UNIVERSIDAD ALAS PERUANAS ,NO,DERECHO Y CIENCIAS POLITICAS ,NO,NO, ,NO, 
51,0-14-3,1, , , , , , , , 
52,0-15-1,1, , , , , , , , 
53,0-15-2,1,UNIVERSIDAD CONTINENTAL ,SÍ,ADMINISTRACIÓN DE EMPRESAS ,NO,NO, ,NO, 
54,0-15-3,1, , , , , , , , 
55,0-15-4,1,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ - UNCP ,SÍ,ADMINISTRACIÓN DE EMPRESAS ,SÍ,SÍ,2015 ,SÍ,2015 
56,0-15-5,1,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ - UNCP ,SÍ,ADMINISTRACIÓN ,SÍ,SÍ,2014 ,SÍ,2016 
57,0-16-1,1,INCA GARCILAZO DE LA VEGA ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ,2015 ,SÍ,2015 
58,0-16-2,1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ,SÍ,MEDICINA HUMANA ,SÍ,SÍ,1984 ,SÍ,1984 
59,0-16-3,1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ,SÍ,INGENIERÍA INDUSTRIAL ,SÍ,SÍ,1975 ,SÍ,1976 
60,0-16-4,1,INCA GARCILASO DE LA VEGA ,SÍ,ECONOMIA ,SÍ,SÍ,2009 ,SÍ,2010 
61,0-16-5,1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ,NO,EDUCACIÓN LITERATURA ,NO,NO, ,NO, 
62,0-16-6,1,UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION ,SÍ,LICENCIADO ENFERMERIA ,SÍ,SÍ,1987 ,SÍ,1987 
63,0-16-8,1,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ ,SÍ,DERECHO ,SÍ,SÍ,1993 ,NO, 
64,0-16-9,1,UNIVERSIDAD NACIONAL FEDERICO VILLAREAL ,SÍ,ECONOMIA ,SÍ,SÍ,2019 ,NO, 
65,0-16-11,1,UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL ,NO,DERECHO Y CIENCIAS POLÍTICAS ,NO,NO, ,NO, 
66,0-16-12,1,UNIVERSIDAD SAN MARTÍN DE PORRES ,SÍ,DERECHO Y CIENCIAS POLÍTICAS ,SÍ,SÍ,1998 ,NO, 
67,0-16-13,1,ESCUELA NACIONAL DEL FOLKLORE JOSE MARIA ARGUEDAS ,NO,EDUCACION ARTISTICA EN FOLKLORE DANZA , , , , , 
68,0-16-14,1,UNIVERSIDAD DE TARAPACA ,SÍ,INGENERIA ADMINISTRATIVA(INDUSTRIAL) ,NO,NO, ,SÍ,2018 
69,0-16-15,1,UNIVERSIDAD MAYOR DE SAN MARCOS ,SÍ,DERECHO Y CIENCIAS POLITICAS ,NO,NO, ,SÍ,2009 
70,0-16-16,1,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ,1984 ,SÍ,1984 
71,0-16-16,2,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ,NO,FILOSOFÍA ,NO,NO, ,NO, 
72,0-16-18,1,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL ,SÍ,INGENIERÍA INDUSTRIAL ,SÍ,SÍ,1983 ,SÍ,1990 
73,0-16-19,1,UNIVERSIDAD TECNOLÓGICA DE LOS ANDES ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ,2004 ,SÍ,2004 
74,0-16-20,1,MONTCLAIR STATE UNIVERSITY ,SÍ,ECONOMIA ,SÍ,SÍ,2007 ,NO, 
75,0-16-20,2,MONTCLAIR STATE UNIVERSITY ,SÍ,LAW MINOR ,NO,NO, , , 
76,0-16-21,1,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ,1999 ,SÍ,2000 
77,0-16-22,1,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL ,SÍ,COOPERATIVISMO ,SÍ,SÍ,1986 ,NO, 
78,0-16-23,1,UNIVERSIDAD FEDERAL DEL DEL ESTADO DE RÍO DE JAINEIRO - BRASIL ,SÍ,INGENIERÍA CIVIL ,NO,NO, ,SÍ,1964 
79,0-16-24,1,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS UPC ,SÍ,INGENIERÍA CIVIL ,SÍ,SÍ,2017 ,NO, 
80,0-16-25,1, , , , , , , , 
81,0-16-26,1,UNIVERSIDAD MAYOR DE SAN MARCOS ,SÍ,INGENIERIA QUIMICA ,SÍ,SÍ,1993 ,SÍ,1996 
82,0-16-27,1,INCA GARCILASO DE LA VEGA ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ,2011 ,SÍ,2012 
83,0-16-28,1,UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ,2014 ,SÍ,2015 
84,0-16-29,1,UNIVERSIDAD SAN MARTIN DE PORRES ,SÍ,DERECHO ,SÍ,SÍ,2000 ,SÍ,2010 
85,0-16-29,2,UNIVERSIDAD SAN MARTIN DE PORRES ,SÍ,PERIODISMO ,SÍ,SÍ,1974 ,SÍ,1974 
86,0-16-30,1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ,SÍ,COMUNICACIÓN SOCIAL ,SÍ,SÍ,1998 , , 
87,0-16-31,1,UNIVERSIDAD NACIONAL DE TRUJILLO ,SÍ,ECONOMIA ,SÍ,SÍ,1982 ,SÍ,1983 
88,0-16-31,2,UNIVERSIDAD DE HUANUCO ,SÍ,DERECHO ,SÍ,SÍ,2013 ,SÍ,2014 
89,0-16-32,1, , , , , , , , 
90,0-16-34,1, , , , , , , , 
91,0-16-35,1,UNIVERSIDAD ENRIQUE GUZMÁN Y VALLE ,SÍ,CIENCIAS DE LA EDUCACIÓN ,SÍ,SÍ,2018 ,NO, 
92,0-17-1,1,UNIVERSIDAD PARTICULAR RICARDO PALMA ,SÍ,INGENIERÍA ELECTRÓNICA ,SÍ,SÍ,1978 ,SÍ,1988 
93,0-17-3,1,UNIVERSIDAD INCA GARCILAZO DE LA VEGA ,SÍ,PSICOLOGIA ,SÍ,SÍ,2014 ,NO, 
94,0-17-4,1,UNIVERSIDAD CATOLICA LOS ANGELES DE CHIMBOTE ,SÍ,DERECHO Y CIENCIA POLÍTICA ,SÍ,SÍ,2014 ,SÍ,2015 
95,0-18-1,1,UNIVERSIDAD PERUANA LOS ANDES ,SÍ, ,SÍ,SÍ,2007 ,SÍ,2008 
96,0-18-2,1,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU ,SÍ,AGRONOMÍA TROPICAL ,SÍ,SÍ,2010 ,NO, 
97,0-18-4,1,UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE - LA CANTUTA ,SÍ,LICENCIADA EN EDUCACIÓN - INGLES - LENGUA ,SÍ,SÍ,1993 ,SÍ,1994 
98,0-18-5,1,UNIVERSIDAD PERUANA LOS ANDES - UPLA ,NO,ADMINISTRACIÓN Y SISTEMAS ,NO,NO, ,NO, 
99,0-19-1,1,SAN ANTONIO DE ABAD DEL CUSCO ,SÍ,ACADEMICO EDUCACION ESPECIAL BIOLOGICAS ,NO,NO, , , 
100,0-19-3,1,UNIVERSIDAD NACIONAL SAN ANTONIO ABAD DEL CUSCO ,SÍ,CIENCIAS CONTABLES Y FINANCIERAS ,SÍ,SÍ,1990 ,NO, 
101,0-19-3,2,UNIVERSIDAD ALAS PERUANA ,SÍ,CONTADOR PUBLICO ,SÍ,SÍ, ,SÍ,2010 
102,0-19-4,1,SAN AGUSTIN DE AREQUIPA ,SÍ,ARQUITECTURA ,SÍ,SÍ,1982 ,SÍ,1995 
103,0-19-4,2,UNIVERSIDAD NACIONAL DE INGENIERÍA ,SÍ,MAESTRO EN CIENCIAS ,SÍ,SÍ, ,SÍ,1998 
104,0-19-5,1,INCA GARCILAZO DE LA VEGA ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ,2015 ,SÍ,2016 
105,0-20-1,1, , , , , , , , 
106,0-20-2,1,SAN PEDRO DE CHIMBOTE ,NO,CIENCIAS CONTABLES FINANCIERAS ,NO,NO, ,NO, 
107,0-20-2,2,ALAS PERUANAS ,NO,INGENIERIA CIVIL ,NO,NO, ,NO, 
108,0-20-3,1,NESTOR CACERES DE JULIACA ,SÍ, ,NO,NO, ,NO, 
109,0-21-1,1,UNIVERSIDAD DEL PACÍFICO ,SÍ,ADMINISTRACIÓN ,SÍ,SÍ,2018 ,NO, 
110,0-21-2,1,UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE ,SÍ,EDUCACION ESPECIALIDAD DE LENGUA Y LITERATURA ,SÍ,SÍ,1996 ,SÍ,2001 
111,0-21-3,1, , , , , , , , 
112,0-22-1,1,UNIVERSIDAD NACIONAL DANIEL ALCÍDES CARRIÓN ,SÍ, ,SÍ,SÍ,2003 ,SÍ,2003 
113,0-22-2,1,UNIVERSIDAD LOS ÁNGELES DE CHIMBOTE ,SÍ,INGENIERÍA DE SISTEMAS ,SÍ,SÍ,2019 ,NO, 
114,0-22-3,1,DANIEL ALCIDES CARRION ,SÍ,INGENIERIA DE SISTEMAS E INFORMATICA ,SÍ,SÍ,2003 ,SÍ,2012 
115,0-22-3,2,DANIEL ALCIDES CARRION ,NO,INGENIERIA CIVIL ,NO,NO, ,NO, 
116,0-23-1,1,UNIVERSIDAD SAN LUIS GONZAGA DE ICA ,SÍ,INGENIERIA MECANICA ELECTRICA ,SÍ,SÍ,1992 ,SÍ,1993 
117,0-23-2,1,UNIVERSIDAD SAN LUIS GONZALES ,NO,TURISMO Y ARQUEOLOGIA , , , , , 
118,0-23-3,1, , , , , , , , 
119,0-23-4,1,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA ,SÍ,CIENCIAS DE LA EDUCACION ,SÍ,SÍ,1992 ,SÍ,1993 
120,0-24-1,1,UNIVERSIDAD NACIONAL JOSE FAUSTINO SANCHEZ CARRION ,SÍ,INGENIERÍA INDUSTRIAL ,SÍ,SÍ,2005 ,SÍ,2009 
121,0-24-2,1,INCA GARCILASO DE LA VEGA ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ,2019 ,NO, 
122,0-24-3,1,UNIVERSIDAD ALAS PERUANAS ,SÍ,ADMINISTRACION Y NEGOCIOS INTERNACIONALES ,SÍ,SÍ,2015 ,SÍ,2017 
123,0-24-4,1,ULADECH LOS ANGELES DE CHIMBOTE ,NO,DERECHO Y CIENCIAS POLITICAS , , , , , 
124,0-26-1,1,SAN MARTIN DE PORRES ,NO,INGENIERÍA COMPUTACIÓN Y SISTEMAS ,NO,NO, , , 
125,0-26-2,1,UNIVERSIDAD NACIONAL DE PIURA ,SÍ,MEDICINA HUMANA ,SÍ,SÍ,1996 ,SÍ,1997 
126,0-26-3,1, , , , , , , , 
127,0-26-4,1,UNIVERSIDAD INCA GARCILASO DE LA VEGA ,SÍ,ADMINISTRACION PUBLICA ,SÍ,SÍ,1999 ,SÍ,2000 
128,0-26-5,1,UNIVERSIDAD TECNOLÓGICA DEL PERU ,NO,CIENCIAS DE LA COMUNICACION , , , , , 
129,0-26-6,1, , , , , , , , 
130,0-26-7,1,UNIVERSIDAD NACIONAL DE PIURA ,SÍ,LENGUA Y LITERATURA ,SÍ,SÍ,2011 ,SÍ,2015 
131,0-27-1,1,UNIVERSIDAD NACIONAL DE SAN AGUSTIN AREQUIPA ,SÍ,CONTABILIDAD ,SÍ,SÍ,1998 ,SÍ,2000 
132,0-27-2,1,ESCUELA MILITAR DE CHORRILLOS ,SÍ,OFICIAL DE EJERCITO ,SÍ,SÍ,1977 ,SÍ,1977 
133,0-27-3,1,UNIVERSIDAD ALAS PERUANAS ,NO,INGENIERIA INDUSTRIAL ,NO,NO, ,NO, 
134,0-27-4,1,UNIVERSIDAD NACIONAL SAN AGUSTIN DE AREQUIPA ,SÍ,MEDICINA HUMANA ,SÍ,SÍ,1986 ,SÍ,1986 
135,0-27-6,1,UNIVERSIDAD CATOLICA SANTA MARIA ,SÍ,PERIODISMO ,SÍ,SÍ,1990 ,SÍ,1991 
136,0-27-6,2,UNIVERSIDAD ALAS PERUANAS ,SÍ,EDUCACIÓN ,NO,NO, ,NO, 
137,0-28-1,1,LOS ANGELES DE CHIMBOTE ,SÍ,CIENCIAS DE LA COMUNICACION ,SÍ,SÍ,2004 ,NO, 
138,0-28-2,1, , , , , , , , 
139,0-28-3,1,UNIVERSIDAD NACIONAL DANIEL ALCÍDES CARRIÓN ,SÍ,INGENIERIA DE METALURGIA ,SÍ,SÍ,1998 ,SÍ,2002 
140,0-29-1,1,UNIVERSIDAD NACIONAL MAYOR REAL PONTIFICIA DE SAN FRANCISCO XAVIER DE CHIQUISACA ,SÍ,MEDICINA HUMANA ,SÍ,SÍ,2001 ,SÍ,2001 
141,0-29-2,1,UNIVERSIDAD NACIONAL JOSE MARIA ARGUEDAS ,SÍ,INGENIERIA AGRO INDUSTRIAL ,SÍ,SÍ,2010 ,SÍ,2014 
142,0-29-3,1,UNIVERSIDAD ALAS PERUANAS ,SÍ,CIENCIAS CONTABLES Y FINANCIERAS ,SÍ,SÍ,2016 ,SÍ,2019 
143,0-30-1,1,UNIVERSIDAD SAN ANTONIO ABAD DEL CUSCO ,SÍ,ADMINISTRACION ,SÍ,SÍ,1981 ,SÍ,1986 
144,0-30-3,1,UNIVERSIDAD SAN ANTONIO ABAD DE CUSCO ,SÍ,TURISMO ,SÍ,SÍ,1989 ,SÍ, 
145,0-30-4,1,UNIVERSIDAD NACIONAL SAN ANTONIO ABAD DEL CUSCO ,SÍ,CIENCIAS ADMINISTRATIVAS ,SÍ,SÍ,2019 ,NO, 
146,0-30-4,2, , , , , , , , 
147,0-30-4,3, , , , , , , , 
148,0-30-5,1,UNIVERSIDAD NACIONAL SAN ANTONIO ABAD DE CUSCO ,SÍ,CIENCIAS ADMINISTRATIVAS ,SÍ,SÍ,2018 ,NO, 
149,0-31-1,1,UNIVERSIDAD NACIONAL DE CAJAMARCA ,SÍ,INGENIERIA AGRONOMA ,NO,NO, ,SÍ,1971 
150,0-31-2,1,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO ,SÍ,LICENCIADA EN EDUCACION PRIMARIA ,SÍ,SÍ,2002 ,SÍ,2006 
151,0-31-3,1,UNIVERSIDAD PARTICULAR DE CHICLAYO ,SÍ,INGENIERIA INFORMATICA Y DE SISTEMAS ,SÍ,SÍ,2003 ,SÍ,2004 
152,0-31-3,2,ALAS PERUANAS ,NO,INGENIERIA CIVIL , , , ,NO, 
153,0-31-4,1,UNIVERSIDAD PRIVADA SAN PEDRO ,SÍ,DERECHO Y CENCIAS POLITICAS ,SÍ,SÍ,1985 , , 
154,0-31-5,1,UNIVERSIDAD PRIVADA SAN PEDRO ,SÍ,X , , , ,SÍ,2007 
155,0-31-5,2,UNIVERSIDAD ALAS PERUANAS ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ, ,SÍ,2008 
156,0-31-6,1,UNIVERSIDAD NACIONAL FEDERICO VILLAREAL ,SÍ,NUTRICION ,SÍ,SÍ,1992 ,SÍ,1992 
157,0-32-1,1,UNIVERSIDAD PRIVADA CESAR VALLEJO ,NO,DERECHO ,NO,NO, ,NO, 
158,0-32-1,2,UNIVERSIDAD DE GUADALAJARA ,NO,DERECHO ,NO,NO, ,NO, 
159,0-32-2,1,PONTIFICIA UNIVERSIDAD CATOLICA ,SÍ,DERECHO ,SÍ,SÍ,1993 ,SÍ,1997 
160,0-32-3,1,UNIVERSIDAD NACIONAL DE TRUJILLO ,SÍ,BIOLOGIA ,SÍ,SÍ,2000 ,SÍ,2000 
161,0-32-4,1,UNIVERSIDAD NACIONAL DE TRUJILLO ,SÍ,INGENIERIA AGROINDUSTRIAL ,SÍ,SÍ,2010 ,SÍ,2011 
162,0-32-4,2,UNIVERSIDAD ALAS PERUANAS ,SÍ,INGENIERIA AMBIENTAL ,NO,NO, ,NO, 
163,0-32-5,1,UNIVERSIDAD PRIVADA DE PUCALLPA ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ,2017 ,SÍ,2019 
164,0-32-6,1,UNIVERSIDAD SAN PEDRO ,SÍ,DERECHOS Y CIENCIAS POLÍTICAS ,SÍ,SÍ,2018 ,NO, 
165,0-32-7,1,UNIVERSIDAD NACIONAL DE TRUJILLO ,NO,ENFERMERIA ,NO,NO, ,NO, 
166,0-33-2,1,UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA ,SÍ,CIENCIAS SOCIALES : ARQUEOLOGIA ,SÍ,SÍ,2000 ,SÍ,2006 
167,0-33-2,2,UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA ,SÍ,EDUCACION SECUNDARIA ,SÍ,SÍ,1990 ,SÍ,1990 
168,0-33-3,1,UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DE HUAMANGA ,SÍ,DERECHO ,SÍ,SÍ,2019 ,NO, 
169,0-34-1,1, , , , , , , , 
170,0-34-2,1,UNIVERSIDAD CATOLICA SANTA MARIA ,SÍ,DERECHO ,SÍ,SÍ,1998 ,SÍ,1998 
171,0-34-2,2,UNIVERSIDAD CATOLICA SANTA MARIA ,SÍ,CIENCIAS DE LA COMUNICACION SOCIAL ,NO,NO, ,NO, 
172,0-34-3,1,INCA GARCILASO DE LA VEGA ,NO,DERECHO Y CIENCIA POLITICA ,NO,NO, ,NO, 
173,0-34-4,1,UNIVERSIDAD SAN MARTIN DE PORRES ,SÍ, ,SÍ,SÍ,2001 ,SÍ,2002 
174,0-35-1,1,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION ,SÍ,EDUCACIÓN Y CIENCIAS HUMANAS ,SÍ,SÍ,1986 ,SÍ,1987 
175,0-35-2,1,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION ,NO,INGENIERÍA ZOOTECNIA ,NO,NO, ,NO, 
176,0-35-3,1,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION ,NO,TELECOMUNICACIONES INFORMATICA ,NO,NO, ,NO, 
177,0-36-1,1,PEDRO RUIZ GALLO ,SÍ,DERECHO ,SÍ,SÍ,2014 ,SÍ,2015 
178,0-36-2,1,UNIVERSIDAD NACIONAL DE TRUJILLO ,SÍ,BIOLOGÍA - MICROBIOLOGIA ,SÍ,SÍ,2003 ,SÍ,2005 
179,0-36-2,2,UNIVERSIDAD PARTICULAR ANTENOR ORREGO ,SÍ,EDUCACIÓN SECUNDARIA ,SÍ,SÍ,2011 ,NO, 
180,0-36-3,1,UNIVERSIDAD NACIONAL DE TRUJILLO ,SÍ,LICENCIADA EN ANTROPOLOGÍA SOCIAL ,SÍ,SÍ, ,SÍ,1975 
181,0-36-4,1,UNIVERSIDAD PRIVADA ANTENOR ORREGO ,SÍ,OBSTRETA ,SÍ,SÍ,1997 ,SÍ,1998 
182,0-36-4,2,UNIVERSIDAD PRIVADA ANTENOR ORREGO ,SÍ,MEDICO CIRUJANO ,SÍ,SÍ,2009 ,SÍ,2010 
183,0-36-5,1,UNIVERSIDAD NACIONAL DE TRUJILLO ,SÍ,ABOGADO ,SÍ,SÍ,1976 ,SÍ,1997 
184,0-36-6,1,TELESUP ,NO,DERECHO EMPRESARIAL , , , , , 
185,0-36-7,1, , , , , , , , 
186,0-37-1,1,UNIVERSIDAD PERUANA LOS ANDES ,SÍ,DERECHO Y CIENCIAS POLÍTICAS ,SÍ,SÍ,2002 ,SÍ,2003 
187,0-37-2,1,UNIVERSIDAD PERUANA LOS ANDES ,SÍ,DERECHO Y CIENCIAS POLITICAS ,SÍ,SÍ,2015 ,SÍ,2016 
188,0-37-3,1,UNIVERSIDAD CONTINENTAL ,NO,INGENIERIA AMBIENTAL ,NO,NO, ,NO, 
189,0-38-1,1,UNIVERSIDAD CIENTÍFICA DEL PERU ,SÍ, ,SÍ,SÍ, ,SÍ, 
190,0-38-2,1,UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA ,SÍ,LICENCIADA ENFERMERIA ,SÍ,SÍ,1996 ,SÍ, 
191,0-38-3,1,UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA ,SÍ,DERECHO , , , ,SÍ,2016 
192,0-39-1,1,UNIVERSIDAD PRIVADA ANTENOR ORREGO ,SÍ,ARQUITECTURA ,SÍ,SÍ,1997 ,SÍ,2001 
193,0-39-2,1,UNIVERSIDAD PRIVADA ANTENOR ORREGO ,SÍ,ADMINISTRACIÓN ,SÍ,SÍ,2017 ,NO, 
194,0-39-3,1,UNIVERSIDAD NACIONAL DE TRUJILLO ,SÍ,ANTROPOLOGÍA SOCIAL ,SÍ,SÍ,1986 ,SÍ,1988 
195,0-39-3,2,UNIVERSIDAD CATOLICA LOS ANGELES DE CHIMBOTE ,SÍ,ABOGADO ,SÍ,SÍ,2015 ,SÍ,2016 
196,0-39-4,1,UNIVERSIDAD CATOLICA LOS ANGELES DE CHIMBOTE ,SÍ,CONTADOR PUBLICO ,SÍ,SÍ,2011 ,SÍ,2012 
197,0-39-5,1,UNIVERSIDAD CESAR VALLEJO ,SÍ,INGENIERÍA INDUSTRIAL ,SÍ,SÍ,2015 ,SÍ,2015 
