,id_hdv,work_rec,workplace,ocup,ruc,Address,start_year,end_year,cntr_wp,dept_wp,prov_wp,dist_wp
18,0-3-6,2,MUNICIPALIDAD PROVINCIAL DE AREQUIPA ,ASESOR DE SEGURIDAD CIUDADANA DE LA MPA , ,AV. VENEZUELA 2201 ,2017,2018,PERÚ ,AREQUIPA ,AREQUIPA ,AREQUIPA 
19,0-3-6,3,MINISTERIO DE LA PRESIDENCIA INEI ,ACTUALIZADOR CARTOGRÁFICO (CENSOS) , ,CALLE SANTO DOMINGO 103 ,2016,2016,PERÚ ,AREQUIPA ,AREQUIPA ,AREQUIPA 
20,0-3-6,4,MINERA LAS BAMBAS ,RELACIONES COMUNITARIAS , ,APURIMAC- NUEVA FUERABAMBA ,2014,2015,PERÚ ,APURIMAC ,COTABAMBAS ,CHALLHUAHUACHO 
21,0-3-6,5,COFOPRI ,TÉCNICO CATASTRAL 2 , ,CALLE MISTI ,2013,2014,PERÚ ,AREQUIPA ,AREQUIPA ,AREQUIPA 
22,0-4-1,1,MINISTERIO DE LA MUJER Y POBLACION VULNERABLE ,ESPECIALISTA SOCIAL , ,JR. CAMANA 616 ,2002,2019,PERÚ ,LIMA ,LIMA ,LIMA 
23,0-4-2,1,J Y M ALIMENTOS EIRL ,JEFE DE ALMACEN ,20601720494,JR HUALLAYCO #1536 ,2017,HASTA LA ACTUALIDAD,PERÚ ,HUANUCO ,HUANUCO ,HUANUCO 
24,0-5-1,1,INDEPENDIENTE - M V M ABOGADOS ASOCIADOS ,ABOGADO / CONTADOR , ,"MZ C1 LT 01 OFICINA 102 , URBANIZACIÓN COVICORTI - JR AYACUCHO 590 OFICINA 321, CERCADO DE TRUJILLO ",2012,HASTA LA ACTUALIDAD,PERÚ ,LA LIBERTAD ,TRUJILLO ,TRUJILLO 
25,0-5-1,2,CIBERTEC PERU SAC ,DOCENTE DE EDUCACION SUPERIOR , ,AV EJERCITO 889 ,2014,2018,PERÚ ,LA LIBERTAD ,TRUJILLO ,TRUJILLO 
26,0-5-1,3,PRODUCTOS TISSUE DEL PERU SA ,SUPERVISOR , ,SANTA ROSA 550 SANTA ANITA LIMA ,2007,2018,PERÚ ,LA LIBERTAD ,TRUJILLO ,TRUJILLO 
27,0-5-2,1,FERROCASAS SAC ,GERENTE , ,MZ E LT. 03 URBANIZACIÓN ROSAS DE AMÉRICA ,2009,HASTA LA ACTUALIDAD,PERÚ ,LA LIBERTAD ,TRUJILLO ,TRUJILLO 
28,0-5-2,2,I.E. 81778 RAMIRO PRIALE ,DOCENTE , ,AV. LAS MAGNOLIAS S/N MZ Z 16 LT 01 ,2001,2010,PERÚ ,LA LIBERTAD ,TRUJILLO ,EL PORVENIR 
29,0-5-3,1, , , , , , , , , , 
30,0-5-4,1,CENTRO DE SALUD CALLANCAS - RED DE SALUD OTUZCO ,MEDICO CIRUJANO , ,CENTRO POBLADO CALLANCAS ,2018,HASTA LA ACTUALIDAD,PERÚ ,LA LIBERTAD ,OTUZCO ,CHARAT 
31,0-5-5,1,IE MARCIAL ACHARAN Y SMITH ,DOCENTE , ,COLON 467 ,2002,2019,PERÚ ,LA LIBERTAD ,TRUJILLO ,TRUJILLO 
32,0-5-6,1,I.E. 82073 SAN MARTIN DE PORRES ,DOCENTE , ,JIRON LEONCIO PRADO - S/N MZ 48 LOTE 1 ETAPA ,2019,HASTA LA ACTUALIDAD,PERÚ ,LA LIBERTAD ,TRUJILLO ,HUANCHACO 
33,0-5-7,1,CONTADORA PUBLICA COLEGIADA INDEPENDIENTE ,CONTADORA , ,CALLE LISBOA 454 DPTO 103 URBANIZACION SANTA ISABEL ,2013,HASTA LA ACTUALIDAD,PERÚ ,LA LIBERTAD ,TRUJILLO ,TRUJILLO 
34,0-5-7,2,CONSTRUCTORA PARAMAX SAC ,CONTADORA GENERAL , ,AV. EL EJERCITO 1020 ,2012,2013,PERÚ ,LA LIBERTAD ,TRUJILLO ,TRUJILLO 
35,0-5-7,3,ARENERA JAEN SAC AJSA ,JEFE DE CRÉDITOS Y COBRANZAS , ,AV AMERICA SUR 1344 ,2006,2012,PERÚ ,LA LIBERTAD ,TRUJILLO ,TRUJILLO 
36,0-6-1,1,DIRECCIÓN REGIONAL DE SALUD TUMBES ,MÉDICO ASISTENCIAL ,20171001065,AV. BELAUNDE TERRY MZA. X LOTE. 1-10 URB. JOSE LISHNER TUDELA ,2015,HASTA LA ACTUALIDAD,PERÚ ,TUMBES ,TUMBES ,TUMBES 
37,0-6-2,1,DIRECCIÓN REGIONAL DE EDUCACIÓN TUMBES ,ESPECIALISTA DE EDUCACIÓN ,20366964437,AV. TENIENTE VASQUEZ NRO. 392 ,2018,2018,PERÚ ,TUMBES ,TUMBES ,TUMBES 
38,0-6-3,1, , , , , , , , , , 
39,0-7-1,1,PRODISE S.R.L ,MECÁNICO , ,CAR.VIA DE EVITAMIIENTO KM 5 SEC. JOSE ,2015,HASTA LA ACTUALIDAD,PERÚ ,AREQUIPA ,AREQUIPA ,CERRO COLORADO 
40,0-7-2,1,INDEPENDIENTE ,CHOFER- NO FORMALIZADO , ,BLOCK L2 DPTO. 502 CONJ.HAB. MANUEL POLO JIMENEZ ,2008,HASTA LA ACTUALIDAD,PERÚ ,AREQUIPA ,AREQUIPA ,ALTO SELVA ALEGRE 
41,0-7-3,1,NEC. PAMPAMARCA - HARU WIÑA Y FONCONDES ,ASISTENTE TECNICO PRODUCTIVO , ,PAMPAMARCA ,2019,HASTA LA ACTUALIDAD,PERÚ ,AREQUIPA ,LA UNION ,PAMPAMARCA 
42,0-7-4,1, , , , , , , , , , 
43,0-7-5,1, , , , , , , , , , 
44,0-7-6,1, , , , , , , , , , 
45,0-8-1,1,CORTE SUPERIOR DE JUSTICIA DEL SANTA ,SECRETARIO JUDICIAL , ,AV PARDO 8VA CUADRA ,1996,2001,PERÚ ,ANCASH ,SANTA ,CHIMBOTE 
46,0-8-1,2,MINISTERIO DE JUSTICIA - PROCURADURIA PUBLICA ANTICORRUPCION DEL SANTA ,ABOGADO ADJUNTO , ,AV CARLOS DE LOS HEROS NRO 275 ,2002,2004,PERÚ ,ANCASH ,SANTA ,CHIMBOTE 
47,0-8-1,3,MINISTERIO DE JUSTICIA - PROCUDARIA PUBLICA ANTICORRUPCION DEL SANTA ,PROCURADOR PUBLICO , ,JR CARLOS DE LOS HEROS NRO 275 ,2004,2006,PERÚ ,ANCASH ,SANTA ,CHIMBOTE 
48,0-8-1,4,MUNICIPALIDAD DISTRITAL DE SAMANCO ,ASESOR LEGAL EXTERNO , ,JR RICARDO PALMA S/N FRENTE A LA PLAZA DE ARMAS ,2007,2009,PERÚ ,ANCASH ,SANTA ,SAMANCO 
49,0-8-1,5,MUNICIPALIDAD DISTRITAL DE MORO ,ASESOR LEGAL EXTERNO , ,FRENTE A LA PLAZA DE ARMAS ,2009,2009,PERÚ ,ANCASH ,SANTA ,MORO 
50,0-8-3,1,UNIVERSIDAD CATOLICA LOS ANGELES DE CHIMBOTE ,DOCENTE UNIVERSITARIO , ,LEONCIO PRADO NRO 446 ,2006,2018,PERÚ ,ANCASH ,SANTA ,CHIMBOTE 
51,0-8-4,1,INSTITUCION EDUCATIVA SANTA ROSA ,DOCENTE , ,CALLE 31 DE MAYO S/N SANTO DOMINGO - HUARMEY ,2011,2019,PERÚ ,ANCASH ,HUARMEY ,HUARMEY 
52,0-8-5,1,EMPRESA DE SEGURIDAD Y VIGILANCIA SERGECOR ,VIGILANTE DE SEGURIDAD , ,JR. JUAN DE LA CRUZ ROMERO NRO. 1087 DPTO. 202 ,2019,HASTA LA ACTUALIDAD,PERÚ ,ANCASH ,HUARAZ ,HUARAZ 
53,0-9-2,1,MUNICIPALIDAD DISTRITAL DE MADRE DE DIOS ,GERENTE MUNICIPAL ,20162310888,AV. MADRE DE DIOS S/N - PLAZA DE ARMAS BOCA COLORADO ,2018,2018,PERÚ ,MADRE DE DIOS ,MANU ,MADRE DE DIOS 
54,0-9-2,2,MUNICIPALIDAD DISTRITAL DE LAS PIEDRAS ,GERENTE MUNICIPAL ,20213017871,CALLE QUINTÍN GRANADOS S/N - PLAZA DE ARMAS PLANCHON ,2019,HASTA LA ACTUALIDAD,PERÚ ,MADRE DE DIOS ,TAMBOPATA ,LAS PIEDRAS 
55,0-9-2,3,MUNICIPALIDAD DISTRITAL DE HUEPETUHE ,GERENTE MUNICIPAL ,20232820111,AV PRINCIPAL S/N - PLAZA DE ARMAS HUEPETUHE ,2017,2017,PERÚ ,MADRE DE DIOS ,MANU ,HUEPETUHE 
56,0-9-2,4,DIRECCION GENERAL DE TRANSPORTES Y COMUNICACIONES DE MADRE DE DIOS ,DIRECTOR REGIONAL ,20199189710,JR. LORETO N° 198 - PUERTO MALDONADO ,2016,2017,PERÚ ,MADRE DE DIOS ,TAMBOPATA ,TAMBOPATA 
57,0-9-2,5,DIRECCION GENERAL DE TRANSPORTES Y COMUNICACIONES DE MADRE DE DIOS ,DIRECTOR DE ADMINISTRACIÓN ,20199189710,JR. LORETO N° 198 - PUERTO MALDONADO ,2016,2016,PERÚ ,MADRE DE DIOS ,TAMBOPATA ,TAMBOPATA 
58,0-10-1,1,UGEL 303 BAGUA ,DOCENTE COORDINADOR , ,AV. HÉROES DEL CENEPA N°1090 ,1993,2019,PERÚ ,AMAZONAS ,BAGUA ,BAGUA 
59,0-10-2,1,UGEL CONDORCANQUI ,DOCENTE ,20479951757,EL PORVENIR 103 ,1994,2019,PERÚ ,AMAZONAS ,CONDORCANQUI ,NIEVA 
60,0-11-1,1,CONGRESO DE LA REPÚBLICA DEL PERÚ ,EMPLEADO , ,PASAJE SIMON BOLIVAR S/N ,2002,2019,PERÚ ,LIMA ,LIMA ,LIMA 
61,0-12-1,1,CONGRESO DE LA REPUBLICA ,ASESOR DE CONGRESISTA ,20161749126,JR. CARABAYA 381 ,2016,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,LIMA 
62,0-12-3,1,ROBERIKA SAC ,GERENTE ,20542556596,AV. AMAZONAS 971 ,2012,HASTA LA ACTUALIDAD,PERÚ ,HUANUCO ,LEONCIO PRADO ,RUPA-RUPA 
63,0-13-1,1, , , , , , , , , , 
64,0-13-2,1,GOBIERNO REGIONAL PUNO ,CONSEJERA REGIONAL , ,JR DEUSTUA 356 ,2015,2018,PERÚ ,PUNO ,PUNO ,PUNO 
65,0-13-2,2,FINANCIERA EDIFICAR ,ASESOR DE NEGOCIOS , ,JR JULI ,2012,2014,PERÚ ,PUNO ,CHUCUITO ,JULI 
66,0-13-3,1,INDEPENDIENTE ,ABOGADO , ,CALLE GRIMALDO DEL SOLAR 162 OFC. 706 ,2018,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,MIRAFLORES 
67,0-13-3,2,INDEPENDIENTE ,ABOGADO , ,JR. LORETO 237 ,2018,HASTA LA ACTUALIDAD,PERÚ ,PUNO ,PUNO ,PUNO 
68,0-13-4,1,ONG ARUNAKASA ,COMUNICADORA Y EDUCADORA AYMARA , ,JIRON TACNA ,1992,1996,PERÚ ,PUNO ,PUNO ,PUNO 
69,0-13-5,1, , , , , , , , , , 
70,0-14-1,1,NOVEDADES EL HNO ISRAEL ,COMERCIANTE ,10001875804,JR VARGAS GUERRA MZ L LT 11 ,2015,HASTA LA ACTUALIDAD,PERÚ ,UCAYALI ,PADRE ABAD ,PADRE ABAD 
71,0-14-2,1,HOSPEDAJJE MENESES ,RECEPCIONISTA ,10001242267,JR. SALAVERRY N. 727 ,2015,2019,PERÚ ,UCAYALI ,CORONEL PORTILLO ,CALLERIA 
72,0-14-3,1, , , , , , , , , , 
73,0-15-1,1,GRUPO PARIS B&S S.A.C. ,ADMINISTRADOR ,20600677064,"JR. PUNO N.° 250 INTERIOR ""B"" ",2017,HASTA LA ACTUALIDAD,PERÚ ,JUNIN ,HUANCAYO ,HUANCAYO 
74,0-15-2,1,COMPAÑÍA PERUANA NACIONAL TEXTIL ,GERENTE GENERAL ,20486608278,PASAJE SALESIANO N.°110 ,2007,HASTA LA ACTUALIDAD,PERÚ ,JUNIN ,HUANCAYO ,EL TAMBO 
75,0-15-2,2,CENTRAL DE UNIFORMES EIRL ,ADMINISTRADOR ,20601927480,JR. HUÁNUCO N.° 350 DEPARTAMENTO 407 ,2018,2019,PERÚ ,JUNIN ,HUANCAYO ,HUANCAYO 
76,0-15-3,1,INVERSIONES CARDENAL ,ASISTENTE ADMINISTRATIVO , ,CALLE SOR HORTENCIA MZA. 1 - COSTADO DEL ICPNA ,2014,HASTA LA ACTUALIDAD,PERÚ ,JUNIN ,CHANCHAMAYO ,CHANCHAMAYO 
77,0-15-4,1,CARROCERIAS WANKA S.R.L. ,ASISTENTE ADMINISTRATIVO ,20401109171,AV. HURIN CUZCO N.° 404 ,2005,2009,PERÚ ,LIMA ,LIMA ,INDEPENDENCIA 
78,0-15-4,2,GINA & YESENIA INDUSTRIAS S.A.C. ,ADMINISTRADOR ,20541331892,PROLONGACIÓN MARIATEGUI N.° 400 ,2010,2012,PERÚ ,JUNIN ,HUANCAYO ,EL TAMBO 
79,0-15-4,3,TRANSPORTES GOOL EXPRESS S.A. ,GERENTE GENERAL ,20121862078,AV. MANUEL ODRIA N.° 1047 ,2012,2017,PERÚ ,JUNIN ,TARMA ,TARMA 
80,0-15-4,4,COMPAÑÍA INDUSTRIAL BUFALO E.I.R.L. ,GERENTE ,20601412790,PASAJE UNIÓN N.° 167 ,2016,2018,PERÚ ,JUNIN ,HUANCAYO ,EL TAMBO 
81,0-15-4,5,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ - UNCP ,DOCENTE ,20145561095,AV. MARISCAL CASTILLA N.° 4089 ,2018,2019,PERÚ ,JUNIN ,HUANCAYO ,EL TAMBO 
82,0-15-5,1,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ - UNCP ,ADMINISTRADORA ,20145561095,AV. MARISCAL CASTILLA N.° 3909 ,2017,2019,PERÚ ,JUNIN ,HUANCAYO ,EL TAMBO 
83,0-16-1,1,EDITORA E INMOBILIARIA DT. E.I.R.L. ,GERENTE GENERAL ,20523523717,JR. MOQUEGUA NRO. 284 DPTO. 212 CERCADO DE LIMA LIMA - LIMA - LIMA ,2009,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,LIMA 
84,0-16-1,2,SMRL MANUEL ANTONIO I ,GERENTE GENERAL ,20458450529,JR. SUCRE NRO. 291 LIMA - HUAURA - HUACHO ,1996,2010,PERÚ ,LIMA ,HUAURA ,HUACHO 
85,0-16-2,1,INSTITUTO DE DESARROLLO URBANO ,JEFE DE CAPACITACION , ,CORONEL ZEGARRA 426 ,2000,2008,PERÚ ,LIMA ,LIMA ,JESUS MARIA 
86,0-16-2,2,ASPEN ,JEFE DE CAPACITACION , ,CORONEL ZEGARRA SN ,2009,2011,PERÚ ,LIMA ,LIMA ,JESUS MARIA 
87,0-16-2,3,MUNICIPALIDAD DE LIMA ,GERENTE HOSPITAL DE SOLIDARIDAD , ,CALLE CARLOS CONCHA 163 ,2011,2013,PERÚ ,LIMA ,LIMA ,SAN ISIDRO 
88,0-16-3,1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ,DOCENTE PRINCIPAL DE LA FACULTAD E INGENIERÍA INDUSTRIAL , ,AV. AMEZAGA 375 ,1975,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,LIMA 
89,0-16-4,1,A & S PHARMACEUTICAL SAC ,GERENTE GENERAL - ECONOMISTA , ,AV. LA MAR 556 URB. VULCANO ,2014,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,ATE 
90,0-16-5,1,CENTRO CULTURAL NOSOTROS ,DIRECTORA Y PROFESORA , ,JR. FRANCISCO DE ZELA 1183 ,1980,2018,PERÚ ,LIMA ,LIMA ,JESUS MARIA 
91,0-16-6,1,CLÍNICA CASADICURA NUOVA HOR ,VIA DI PIETRALATA 162 , ,ITALI ,1993,2019,ITALIA , , , 
92,0-16-8,1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ,DOCENTE CONTRATADO ,20148092282,GERMAN AMEZAGA 375 ,2013,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,LIMA 
93,0-16-8,2,INSTITUTO LATINOAMERICANO PARA LA GOBERNANZA GLOBAL - ILAGOB ,DIRECTOR EJECUTIVO , ,CALLE ENRIQUE PALACIOS 360 OF. 513 ,2015,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,MIRAFLORES 
94,0-16-9,1,PERFORMANCE CO. SAC ,GERENTE GENERAL ,20547763573,CALLE CAYRUCACHI ,2012,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,SAN MIGUEL 
95,0-16-11,1, , , , , , , , , , 
96,0-16-12,1,MERCADO UV-3 ,COMERCIANTE , ,AV. COLONIAL CDRA. 48 ,1960,2002,PERÚ ,LIMA ,LIMA ,LIMA 
97,0-16-13,1,COLEGIO PARTICULAR JACK DAJHERT SCHOOL ,DOCENTE , ,"MZ B4, MZ J1 LOTE 09 ",2018,HASTA LA ACTUALIDAD,PERÚ ,CALLAO ,CALLAO ,VENTANILLA 
98,0-16-14,1,ZEGEL IPAE ,DOCENTE UNIVERSITARIO , ,"CALLE CARLOS MARIOTTI CATTANEO 120, PUEBLO LIBRE ",2014,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,PUEBLO LIBRE 
99,0-16-15,1,MUNICIPALIDAD DE ATE ,ABOGADA , ,AV NICOLAS AYLLON NRO 5818 ,2019,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,ATE 
100,0-16-16,1,PODER JUDICIAL - CORTE SUPERIOR DE LIMA ,ABOGADO - JUEZ CESANTE , ,EDIFICIO ALZAMORA VALDEZ (ESQ. AV. ABANCAY CON NICOLAS DE PIEROLA) ,2002,2019,PERÚ ,LIMA ,LIMA ,LIMA 
101,0-16-17,1,,,20100042500,AV. VENEZUELA 2392 ,2016,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,LIMA 
102,0-16-18,1,TELEFÓNICA DEL PERU ,ANALISTA DE SISTEMAS , ,JR. DEAN VALDIVIA ,1984,2002,PERÚ ,LIMA ,LIMA ,SAN ISIDRO 
103,0-16-19,1,POLICIA NACIONAL DEL PERU ,SUB OFICIAL SUPERIOR , ,JR. LOS CIBELES 150 ,1984,2014,PERÚ ,LIMA ,LIMA ,RIMAC 
104,0-16-20,1, , , , , , , , , , 
105,0-16-21,1,ESTUDIO JURIDICO EDU GERALD APARICIO VENTURA ,ABOGADO , ,JR. REAL 195 ,2000,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,SANTIAGO DE SURCO 
106,0-16-22,1,MUNICIPALIDAD DE COMAS ,EMPLEADO , ,PLAZA DE ARMAS S/N- LA LIBERTAD ,1989,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,COMAS 
107,0-16-23,1,EMPRESA NACIONAL DE PUERTOS - ENAPU PERU ,SUPERVISOR DE OBRAS PORTUARIAS , ,CALLE MANCO CAPAC S/N CALLAO ,1965,1996,PERÚ ,CALLAO ,CALLAO ,CALLAO 
108,0-16-24,1,C Y J CONSTRUCTORES Y CONTRATISTAS ,INGENIERO DE CONTROL DE PROYECTOS , ,CALLE ARICOTA 602 ,2019,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,SANTIAGO DE SURCO 
109,0-16-24,2,INMOBILIARIA 3 SESENTA EIRL ,INGENIERO DE CONTROL DE COSTOS , ,LAS SACACIAS 502 ,2018,2018,PERÚ ,LIMA ,LIMA ,MIRAFLORES 
110,0-16-24,3,HB CONTRATISTAS ,INGNIERO DE CONTROL DE CALIDAD , ,- ,2017,2017,PERÚ ,LIMA ,LIMA ,SAN BORJA 
111,0-16-25,1,INDEPENDIENTE ,SERVICIOS DE MOVILIDAD , ,JR. JOSE ALVAREZ CALDERON NRO 319 -TORRES DE LIMATAMBO ,2007,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,SAN BORJA 
112,0-16-26,1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ,DOCENTE , ,AV VENEZUELA S/N CON AV UNIVERSITARIA ,2012,2019,PERÚ ,LIMA ,LIMA ,LIMA 
113,0-16-27,1,INDEPENDIENTE ,ABOGADO , ,JR. PUNO 271 OF. 704 ,2010,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,LIMA 
114,0-16-28,1,INDEPENDIENTE ,ABOGADO , ,AV. ARLOS IZAGUIRRE 142 2DO PISO OF. 202 ,2015,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,INDEPENDENCIA 
115,0-16-29,1,JULIO REY RAMOS ,ABOGADO ,10108041485,AV. COSTANERA NRO 970 DPTO. 410 ,2016,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,SAN MIGUEL 
116,0-16-29,2,REVISTA CONTIGO PERU IN USA ,DIRECTOR , ,11600 W. GOLF DR. OF. 301 NORTH MIAMI FL. 33167 ,2005,HASTA LA ACTUALIDAD,ESTADOS UNIDOS , , , 
117,0-16-29,3,PANAMERICANA TELEVISION ,CORRESPONSAL EN NEW YORK , ,AV. AREQUIPA 1110 ,1993,1994,PERÚ ,LIMA ,LIMA ,LIMA 
118,0-16-29,4,PANAMERICANA TELEVISION ,CORRESPONSAL EN MIAMI , ,AV. AREQUIPA 1110 ,1994,1998,PERÚ ,LIMA ,LIMA ,LIMA 
119,0-16-29,5,RADIO PROGRAMAS DEL PERU ,CORRESPONSAL EN MIAMI , ,AV. PASEO DE LA REPÚBLICA 3866 ,1994,1998,PERÚ ,LIMA ,LIMA ,SAN ISIDRO 
120,0-16-30,1,INDEPENDIENTE ,COMUNICADOR SOCIAL , ,PSJE. LLANGANUCO 1898 ,2014,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,LINCE 
121,0-16-31,1,INSTITUTO PERUANO DE ENERGIA NUCLEAR ,ESPECIALISTA EN RACIONALIZACION DE LA DIRECCION GENERAL DE PRESUPUESTO Y PLANIFICACION , ,AV CANADA S/N ,1990,1992,PERÚ ,LIMA ,LIMA ,SAN BORJA 
122,0-16-31,2,DIRECCION REGIONAL DE EDUCACION DE LIMA METROPOLITANA ,ESPECIALISTA EN RACIONALIZACION , ,URB SANTA CATALINA AV CAMPODONICO S/N CRUCE CON AV JULIAN ARCE ,2012,2014,PERÚ ,LIMA ,LIMA ,LA VICTORIA 
123,0-16-31,3,CORPORACION VAVIL HRNOS. S.A.C. ,SUB GERENTE , ,A.H. LOS PORTALES DE PACHACAMAC MZ.B LOTE 11 ,2016,2019,PERÚ ,LIMA ,LIMA ,VILLA EL SALVADOR 
124,0-16-31,4,CORPORACION VIDAL Y VIDAL S.A.C. ,SUB GERENTE , ,AV CENTRAL MZ.F LOTE 15 SECTOR 2 GRUPO 9 ,2019,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,VILLA EL SALVADOR 
125,0-16-32,1, , , , , , , , , , 
126,0-16-34,1, , , , , , , , , , 
127,0-16-35,1,MUNICIPALIDAD DISTRITAL DE PUNTA NEGRA ,PROFESOR , ,AV. SAN JOSÉ Y LOS CALAMARES S/N ,2019,HASTA LA ACTUALIDAD,PERÚ ,LIMA ,LIMA ,PUNTA NEGRA 
